TYPE	ID_NAME	ID_DESCRIPTION	DATA_POSTPROCESSING	DATASET	CANCER TYPE	SUBTYPE	ENDPOINT	COHORT	CONTRIBUTOR	ARRAY TYPE	PROBE ID	N	CUTPOINT	MINIMUM P-VALUE	CORRECTED P-VALUE	ln(HR-high / HR-low)	COX P-VALUE	ln(HR)	HR [95% CI-low CI-upp]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE5287	Bladder cancer		Overall Survival	Aarhus (1995-2004)	Als	HG-U133A	219488_at	30	0.633333	0.0366046	0.403944	0.878561	0.23855	1.38515	4.00 [0.40 - 39.99]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE13507	Bladder cancer		Overall Survival	CNUH	Kim	Human-6 v2	ILMN_1735045	165	0.430303	0.0376349	0.411266	-0.496495	0.102617	-0.21328	0.81 [0.63 - 1.04]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE13507	Bladder cancer	Transitional cell carcinoma 	Disease Specific Survival	CNUH	Kim	Human-6 v2	ILMN_1735045	165	0.8	0.0353752	0.395063	-1.41567	0.0869135	-0.347443	0.71 [0.47 - 1.05]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12417-GPL96	Blood cancer	AML	Overall Survival	AMLCG (1999-2003)	Metzeler	HG-U133A	219488_at	163	0.104294	0.00271157	0.0580482	-0.845637	0.859234	-0.117147	0.89 [0.24 - 3.25]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12417-GPL570	Blood cancer	AML	Overall Survival	AMLCG (2004)	Metzeler	HG-U133_Plus_2	219488_at	79	0.265823	0.0371958	0.408158	-0.63195	0.136437	-1.32995	0.26 [0.05 - 1.52]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE5122	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	219488_at	58	0.896552	0.0896082	-	-0.800699	0.641751	-0.0919718	0.91 [0.62 - 1.34]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE8970	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	219488_at	34	0.441176	0.0125194	0.190932	-0.959195	0.0801504	-0.930274	0.39 [0.14 - 1.12]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE4475	Blood cancer	B-cell lymphoma	Overall Survival	Berlin (2003-2005)	Hummel	HG-U133A	219488_at	158	0.493671	0.216725	-	0.287987	0.760803	0.152491	1.16 [0.44 - 3.11]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-346	Blood cancer	DLBCL	Event Free Survival	GELA (1998-2000)	Jais	HG-U133A	219488_at	53	0.679245	0.248577	-	0.412538	0.843016	0.0520327	1.05 [0.63 - 1.76]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-346	Blood cancer	DLBCL	Overall Survival	GELA (1998-2000)	Jais	HG-U133A	219488_at	53	0.679245	0.168159	-	0.522148	0.74902	0.0905448	1.09 [0.63 - 1.91]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE16131-GPL96	Blood cancer	Follicular lymphoma	Overall Survival	NCI (1974-2001)	Dave	HG-U133A	219488_at	180	0.755556	0.0121631	0.186895	-0.680979	0.341805	-0.157209	0.85 [0.62 - 1.18]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2658	Blood cancer	Multiple myeloma	Disease Specific Survival	Arkansas	Zhan	HG-U133_Plus_2	219488_at	559	0.477639	0.00145719	0.0348873	-0.648464	0.0175249	-0.565442	0.57 [0.36 - 0.91]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE4271-GPL96	Brain cancer	Astrocytoma	Overall Survival	MDA	Phillips	HG-U133A	219488_at	77	0.636364	0.086509	-	0.441595	0.997135	0.00090009	1.00 [0.61 - 1.64]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE7696	Brain cancer	Glioblastoma	Overall Survival	Lausanne	Murat	HG-U133_Plus_2	219488_at	70	0.828571	0.0104149	0.16647	0.828582	0.227326	0.871671	2.39 [0.58 - 9.84]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE4412-GPL96	Brain cancer	Glioma	Overall Survival	UCLA (1996-2003)	Freije	HG-U133A	219488_at	74	0.121622	0.0821846	-	0.887896	0.247996	0.269166	1.31 [0.83 - 2.07]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE16581	Brain cancer	Meningioma	Overall Survival	UCLA	Lee	HG-U133_Plus_2	219488_at	67	0.477612	0.013364	0.200347	2.17494	0.535203	1.00042	2.72 [0.12 - 64.24]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE19615	Breast cancer		Distant Metastasis Free Survival	DF/HCC	Li	HG-U133_Plus_2	219488_at	115	0.608696	0.0456398	0.464757	-1.40868	0.284521	-0.665335	0.51 [0.15 - 1.74]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12276	Breast cancer		Relapse Free Survival	EMC	Bos	HG-U133_Plus_2	219488_at	204	0.480392	0.000315577	0.00954438	-0.517795	0.0060039	-0.280024	0.76 [0.62 - 0.92]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE6532-GPL570	Breast cancer		Relapse Free Survival	GUYT	Loi	HG-U133_Plus_2	219488_at	87	0.804598	0.0649484	-	-1.26959	0.506408	-0.479092	0.62 [0.15 - 2.55]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE6532-GPL570	Breast cancer		Distant Metastasis Free Survival	GUYT	Loi	HG-U133_Plus_2	219488_at	87	0.804598	0.0649484	-	-1.26959	0.506408	-0.479092	0.62 [0.15 - 2.55]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE9195	Breast cancer		Relapse Free Survival	GUYT2	Loi	HG-U133_Plus_2	219488_at	77	0.571429	0.10354	-	0.899159	0.380866	1.01438	2.76 [0.29 - 26.66]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE9195	Breast cancer		Distant Metastasis Free Survival	GUYT2	Loi	HG-U133_Plus_2	219488_at	77	0.207792	0.144087	-	-0.911974	0.690254	0.532308	1.70 [0.12 - 23.34]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12093	Breast cancer		Distant Metastasis Free Survival	IO, NCI, TUM, CCF (1992-2000)	Zhang	HG-U133A	219488_at	136	0.889706	0.0213676	0.280708	1.14393	0.828773	0.0751719	1.08 [0.55 - 2.13]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE11121	Breast cancer		Distant Metastasis Free Survival	Mainz (1988-1998)	Schmidt	HG-U133A	219488_at	200	0.825	0.0558846	-	0.654809	0.180877	0.363166	1.44 [0.84 - 2.45]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE1378	Breast cancer		Relapse Free Survival	MGH (1987-2000)	Ma	Arcturus 22k	8624	60	0.783333	0.0225825	0.291763	-1.3127	0.0748779	-0.542003	0.58 [0.32 - 1.06]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE1379	Breast cancer		Relapse Free Survival	MGH (1987-2000)	Ma	Arcturus 22k	8624	60	0.566667	0.196305	-	0.486806	0.825613	-0.0815798	0.92 [0.45 - 1.90]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2034	Breast cancer		Distant Metastasis Free Survival	Rotterdam (1980-1995)	Wang	HG-U133A	219488_at	286	0.164336	0.0031703	0.0658554	-0.654165	0.165417	-0.20828	0.81 [0.60 - 1.09]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE1456-GPL96	Breast cancer		Relapse Free Survival	Stockholm (1994-1996)	Pawitan	HG-U133A	219488_at	159	0.433962	0.310282	-	-0.319892	0.83158	-0.0705178	0.93 [0.49 - 1.78]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE1456-GPL96	Breast cancer		Disease Specific Survival	Stockholm (1994-1996)	Pawitan	HG-U133A	219488_at	159	0.201258	0.0662151	-	-0.721799	0.530823	-0.241441	0.79 [0.37 - 1.67]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE1456-GPL96	Breast cancer		Overall Survival	Stockholm (1994-1996)	Pawitan	HG-U133A	219488_at	159	0.201258	0.0468837	0.472573	-0.673189	0.404906	-0.272571	0.76 [0.40 - 1.45]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE7378	Breast cancer		Disease Free Survival	UCSF	Zhou	U133AAofAv2	219488_at	54	0.87037	0.142892	-	-15.3803	0.370191	-0.764399	0.47 [0.09 - 2.48]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-158	Breast cancer		Relapse Free Survival	UCSF, CPMC (1989-1997)	Chin	HG-U133A	219488_at	117	0.700855	0.0263114	0.324183	-0.898135	0.37927	-0.351745	0.70 [0.32 - 1.54]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-158	Breast cancer		Disease Specific Survival	UCSF, CPMC (1989-1997)	Chin	HG-U133A	219488_at	117	0.692308	0.120936	-	-0.701884	0.673694	-0.194911	0.82 [0.33 - 2.04]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-158	Breast cancer		Distant Metastasis Free Survival	UCSF, CPMC (1989-1997)	Chin	HG-U133A	219488_at	117	0.888889	0.227053	-	0.600125	0.575277	0.254955	1.29 [0.53 - 3.15]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	E-TABM-158	Breast cancer		Overall Survival	UCSF, CPMC (1989-1997)	Chin	HG-U133A	219488_at	117	0.700855	0.0263114	0.324183	-0.898135	0.37927	-0.351745	0.70 [0.32 - 1.54]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE3494-GPL96	Breast cancer		Disease Specific Survival	Uppsala (1987-1989)	Miller	HG-U133A	219488_at	236	0.110169	0.16202	-	-0.504991	0.908474	0.0394965	1.04 [0.53 - 2.04]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE4922-GPL96	Breast cancer		Disease Free Survival	Uppsala (1987-1989)	Ivshina	HG-U133A	219488_at	249	0.289157	0.0206139	0.273718	-0.500582	0.461296	-0.191445	0.83 [0.50 - 1.37]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2990	Breast cancer		Relapse Free Survival	Uppsala, Oxford	Sotiriou	HG-U133A	219488_at	125	0.536	0.0338362	0.383719	-0.636467	0.167865	-0.713337	0.49 [0.18 - 1.35]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2990	Breast cancer		Distant Metastasis Free Survival	Uppsala, Oxford	Sotiriou	HG-U133A	219488_at	54	0.166667	0.104453	-	15.3372	0.972381	-0.0143084	0.99 [0.44 - 2.22]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2990	Breast cancer		Relapse Free Survival	Uppsala, Oxford	Sotiriou	HG-U133A	219488_at	62	0.725806	0.11506	-	-0.905305	0.723664	-0.120492	0.89 [0.45 - 1.73]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE2990	Breast cancer		Distant Metastasis Free Survival	Uppsala, Oxford	Sotiriou	HG-U133A	219488_at	125	0.104	0.0623	-	15.2011	0.955174	0.037111	1.04 [0.28 - 3.79]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE7390	Breast cancer		Relapse Free Survival	Uppsala, Oxford, Stockholm, IGR, GUYT, CRH (1980-1998)	Desmedt	HG-U133A	219488_at	198	0.626263	0.13623	-	0.317272	0.4592	0.0924963	1.10 [0.86 - 1.40]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE7390	Breast cancer		Distant Metastasis Free Survival	Uppsala, Oxford, Stockholm, IGR, GUYT, CRH (1980-1998)	Desmedt	HG-U133A	219488_at	198	0.459596	0.0526581	-	0.512007	0.324976	0.152752	1.17 [0.86 - 1.58]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE7390	Breast cancer		Overall Survival	Uppsala, Oxford, Stockholm, IGR, GUYT, CRH (1980-1998)	Desmedt	HG-U133A	219488_at	198	0.459596	0.0508639	-	0.539651	0.258475	0.186078	1.20 [0.87 - 1.66]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12945	Colorectal cancer		Overall Survival	Berlin	Staub	HG-U133A	219488_at	62	0.887097	0.165996	-	-15.2415	0.333735	-0.907774	0.40 [0.06 - 2.54]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE12945	Colorectal cancer		Disease Free Survival	Berlin	Staub	HG-U133A	219488_at	51	0.352941	0.221941	-	-1.06455	0.91841	-0.144145	0.87 [0.05 - 13.65]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE17536	Colorectal cancer		Disease Free Survival	MCC	Smith	HG-U133_Plus_2	219488_at	145	0.841379	0.136812	-	-0.871253	0.483696	-0.596922	0.55 [0.10 - 2.93]
GENE	A4GALT	alpha 1,4-galactosyltransferase	None	GSE17536	Colorectal cancer		Disease Specific Survival	MCC	Smith	HG-U133_Plus_2	219488_at	177	0.666667	0.0441677	0.455344	-0.631413	0.190307	-0.906973	0.40 [0.10 - 1.57]
