TYPE	ID_NAME	ID_DESCRIPTION	DATA_POSTPROCESSING	DATASET	CANCER TYPE	SUBTYPE	ENDPOINT	COHORT	CONTRIBUTOR	ARRAY TYPE	PROBE ID	N	CUTPOINT	MINIMUM P-VALUE	CORRECTED P-VALUE	ln(HR-high / HR-low)	COX P-VALUE	ln(HR)	HR [95% CI-low CI-upp]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE5287	Bladder cancer		Overall Survival	Aarhus (1995-2004)	Als	HG-U133A	207102_at	30	0.133333	0.00678861	0.12014	-1.52871	0.711675	0.395456	1.49 [0.18 - 12.09]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE13507	Bladder cancer		Overall Survival	CNUH	Kim	Human-6 v2	ILMN_1692661	165	0.272727	0.00119357	0.0295516	-0.785135	0.0127222	-2.59808	0.07 [0.01 - 0.57]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE13507	Bladder cancer	Transitional cell carcinoma 	Disease Specific Survival	CNUH	Kim	Human-6 v2	ILMN_1692661	165	0.248485	0.000655591	0.0178468	-1.14739	0.014154	-3.96175	0.02 [0.00 - 0.45]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE12417-GPL96	Blood cancer	AML	Overall Survival	AMLCG (1999-2003)	Metzeler	HG-U133A	207102_at	163	0.877301	0.103432	-	-0.561535	0.448044	-0.366452	0.69 [0.27 - 1.79]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE12417-GPL570	Blood cancer	AML	Overall Survival	AMLCG (2004)	Metzeler	HG-U133_Plus_2	207102_at	79	0.417722	0.165555	-	-0.401156	0.870967	0.142919	1.15 [0.21 - 6.47]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE5122	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	207102_at	58	0.827586	0.0343275	0.387369	0.808851	0.383948	0.15441	1.17 [0.82 - 1.65]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE8970	Blood cancer	AML	Overall Survival	San Diego	Raponi	HG-U133A	207102_at	34	0.882353	0.220375	-	-0.877791	0.76874	-0.0855212	0.92 [0.52 - 1.62]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE4475	Blood cancer	B-cell lymphoma	Overall Survival	Berlin (2003-2005)	Hummel	HG-U133A	207102_at	158	0.841772	0.0509135	-	-0.756112	0.541095	-0.437867	0.65 [0.16 - 2.63]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	E-TABM-346	Blood cancer	DLBCL	Event Free Survival	GELA (1998-2000)	Jais	HG-U133A	207102_at	53	0.150943	0.161624	-	0.8243	0.409037	0.188862	1.21 [0.77 - 1.89]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	E-TABM-346	Blood cancer	DLBCL	Overall Survival	GELA (1998-2000)	Jais	HG-U133A	207102_at	53	0.113208	0.21454	-	0.880908	0.368224	0.221516	1.25 [0.77 - 2.02]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE16131-GPL96	Blood cancer	Follicular lymphoma	Overall Survival	NCI (1974-2001)	Dave	HG-U133A	207102_at	180	0.716667	0.250666	-	-0.28088	0.670002	0.0552206	1.06 [0.82 - 1.36]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE2658	Blood cancer	Multiple myeloma	Disease Specific Survival	Arkansas	Zhan	HG-U133_Plus_2	207102_at	559	0.347048	0.0540404	-	-0.395736	0.213061	-0.172243	0.84 [0.64 - 1.10]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE4271-GPL96	Brain cancer	Astrocytoma	Overall Survival	MDA	Phillips	HG-U133A	207102_at	77	0.246753	0.0634746	-	-0.521696	0.31059	-0.28722	0.75 [0.43 - 1.31]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE7696	Brain cancer	Glioblastoma	Overall Survival	Lausanne	Murat	HG-U133_Plus_2	207102_at	70	0.885714	0.0584527	-	0.762501	0.0966221	2.6029	13.50 [0.63 - 291.06]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	MGH-glioma	Brain cancer	Glioma	Overall Survival	CBTTB, MGH, BWH, CH	Nutt	HG-U95A	34084_at	50	0.52	0.0195626	0.26379	-0.810134	0.128256	-1.33087	0.26 [0.05 - 1.47]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE4412-GPL96	Brain cancer	Glioma	Overall Survival	UCLA (1996-2003)	Freije	HG-U133A	207102_at	74	0.121622	0.00490351	0.093202	-1.05997	0.0643263	-0.524899	0.59 [0.34 - 1.03]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE16581	Brain cancer	Meningioma	Overall Survival	UCLA	Lee	HG-U133_Plus_2	207102_at	67	0.731343	0.0750835	-	-15.5043	0.340756	-5.51647	0.00 [0.00 - 341.37]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE19615	Breast cancer		Distant Metastasis Free Survival	DF/HCC	Li	HG-U133_Plus_2	207102_at	115	0.8	0.199248	-	-1.24974	0.266572	-0.651206	0.52 [0.17 - 1.64]
GENE	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	None	GSE3143	Breast cancer		Overall Survival	Duke	Bild	HG-U95A	34084_at	158	0.829114	0.049958	0.491371	0.647035	0.5511	0.0761154	1.08 [0.84 - 1.39]
